"X1" "X3" "X4" "X5" "X6" "X7" "X8" "X9"
"53456" "2015" "MONTANA" "30" "Powell" "77" "30077" 0 "021616"
"53457" "2015" "MONTANA" "30" "Prairie" "79" "30079" 612226 "021616"
"53458" "2015" "MONTANA" "30" "Ravalli" "81" "30081" 86674 "021616"
"53459" "2015" "MONTANA" "30" "Richland" "83" "30083" 1277827 "021616"
"53460" "2015" "MONTANA" "30" "Roosevelt" "85" "30085" 3024002 "021616"
"53461" "2015" "MONTANA" "30" "Rosebud" "87" "30087" 653652 "021616"
"53462" "2015" "MONTANA" "30" "Sanders" "89" "30089" 60515 "021616"
"53463" "2015" "MONTANA" "30" "Sheridan" "91" "30091" 2637422 "021616"
"53464" "2015" "MONTANA" "30" "Silver-Bow" "93" "30093" 0 "021616"
"53465" "2015" "MONTANA" "30" "Stillwater" "95" "30095" 317361 "021616"
"53466" "2015" "MONTANA" "30" "Sweet-Grass" "97" "30097" 71319 "021616"
"53467" "2015" "MONTANA" "30" "Teton" "99" "30099" 2395152 "021616"
"53468" "2015" "MONTANA" "30" "Toole" "101" "30101" 7710289 "021616"
"53469" "2015" "MONTANA" "30" "Treasure" "103" "30103" 141853 "021616"
"53470" "2015" "MONTANA" "30" "Valley" "105" "30105" 6008517 "021616"
"53471" "2015" "MONTANA" "30" "Wheatland" "107" "30107" 595779 "021616"
"53472" "2015" "MONTANA" "30" "Wibaux" "109" "30109" 259218 "021616"
"53473" "2015" "MONTANA" "30" "Yellowstone" "111" "30111" 1852297 "021616"
"56325" "2014" "MONTANA" "30" "Beaverhead" "1" "30001" 87686 "021715"
"56326" "2014" "MONTANA" "30" "Big-Horn" "3" "30003" 1399239 "021715"
"56327" "2014" "MONTANA" "30" "Blaine" "5" "30005" 6069049 "021715"
"56328" "2014" "MONTANA" "30" "Broadwater" "7" "30007" 486560 "021715"
